Area-Year,Predicted Export Value (USD),Actual Export Value (USD)
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
Afghanistan-2021,323096.44,725765.7199999997
Afghanistan-2022,47.78431,541896.8800000002
Afghanistan-2020,178580.44,696471.98
